Drug A,Drug B,Cell Line,Amount of Literatures,Predicted Synergy Score
CYCLOPHOSPHAMIDE,DOXORUBICIN,HCT116,0,7.605592
CYCLOPHOSPHAMIDE,DOXORUBICIN,HT144,0,4.126027
CYCLOPHOSPHAMIDE,DOXORUBICIN,HT29,0,4.014977
CYCLOPHOSPHAMIDE,DOXORUBICIN,KPL1,0,-3.80967
CYCLOPHOSPHAMIDE,DOXORUBICIN,LNCAP,2,-2.93864
CYCLOPHOSPHAMIDE,DOXORUBICIN,LOVO,2,2.751228
CYCLOPHOSPHAMIDE,DOXORUBICIN,MDAMB436,0,-0.75811
CYCLOPHOSPHAMIDE,DOXORUBICIN,MSTO,0,0.363311
CYCLOPHOSPHAMIDE,DOXORUBICIN,NCIH1650,0,11.48057
CYCLOPHOSPHAMIDE,DOXORUBICIN,NCIH2122,0,3.442972
CYCLOPHOSPHAMIDE,DOXORUBICIN,NCIH23,0,0.708096
CYCLOPHOSPHAMIDE,DOXORUBICIN,NCIH460,0,4.86308
CYCLOPHOSPHAMIDE,DOXORUBICIN,NCIH520,0,0.658504
CYCLOPHOSPHAMIDE,DOXORUBICIN,OCUBM,0,4.919693
CYCLOPHOSPHAMIDE,DOXORUBICIN,OV90,0,-0.62236
CYCLOPHOSPHAMIDE,DOXORUBICIN,OVCAR3,1,-9.19435
CYCLOPHOSPHAMIDE,DOXORUBICIN,PA1,0,-3.84862
CYCLOPHOSPHAMIDE,DOXORUBICIN,RKO,0,6.168125
CYCLOPHOSPHAMIDE,DOXORUBICIN,RPMI7951,0,0.389802
CYCLOPHOSPHAMIDE,DOXORUBICIN,SKMEL30,0,2.554878
CYCLOPHOSPHAMIDE,DOXORUBICIN,SKMES1,0,6.141115
CYCLOPHOSPHAMIDE,DOXORUBICIN,SKOV3,3,6.10328
CYCLOPHOSPHAMIDE,DOXORUBICIN,SW620,0,4.984321
CYCLOPHOSPHAMIDE,DOXORUBICIN,SW837,0,6.838803
CYCLOPHOSPHAMIDE,DOXORUBICIN,T47D,4,11.32329
CYCLOPHOSPHAMIDE,DOXORUBICIN,UACC62,0,-2.45534
CYCLOPHOSPHAMIDE,DOXORUBICIN,UWB1289,0,3.35523
CYCLOPHOSPHAMIDE,DOXORUBICIN,UWB1289BRCA1,0,3.395355
CYCLOPHOSPHAMIDE,DOXORUBICIN,VCAP,17,13.37137
CYCLOPHOSPHAMIDE,DOXORUBICIN,ZR751,0,7.50312
CYCLOPHOSPHAMIDE,ETOPOSIDE,A2058,0,2.576275
CYCLOPHOSPHAMIDE,ETOPOSIDE,A2780,1,2.289069
CYCLOPHOSPHAMIDE,ETOPOSIDE,A375,0,-2.58887
CYCLOPHOSPHAMIDE,ETOPOSIDE,A427,0,-5.09962
CYCLOPHOSPHAMIDE,ETOPOSIDE,CAOV3,2,76.06207
CYCLOPHOSPHAMIDE,ETOPOSIDE,COLO320DM,0,7.094871
CYCLOPHOSPHAMIDE,ETOPOSIDE,DLD1,0,6.245339
CYCLOPHOSPHAMIDE,ETOPOSIDE,EFM192B,0,2.951607
CYCLOPHOSPHAMIDE,ETOPOSIDE,ES2,0,-0.54045
CYCLOPHOSPHAMIDE,ETOPOSIDE,HCT116,0,8.944019
CYCLOPHOSPHAMIDE,ETOPOSIDE,HT144,0,7.690623
CYCLOPHOSPHAMIDE,ETOPOSIDE,HT29,0,4.494031
CYCLOPHOSPHAMIDE,ETOPOSIDE,KPL1,0,8.321003
CYCLOPHOSPHAMIDE,ETOPOSIDE,LNCAP,2,-13.9797
CYCLOPHOSPHAMIDE,ETOPOSIDE,LOVO,0,0.794602
CYCLOPHOSPHAMIDE,ETOPOSIDE,MDAMB436,0,7.5941
CYCLOPHOSPHAMIDE,ETOPOSIDE,MSTO,0,4.833826
CYCLOPHOSPHAMIDE,ETOPOSIDE,NCIH1650,0,7.224117
CYCLOPHOSPHAMIDE,ETOPOSIDE,NCIH2122,0,11.06861
CYCLOPHOSPHAMIDE,ETOPOSIDE,NCIH23,0,-21.7863
CYCLOPHOSPHAMIDE,ETOPOSIDE,NCIH460,0,4.975397
CYCLOPHOSPHAMIDE,ETOPOSIDE,NCIH520,0,5.187335
CYCLOPHOSPHAMIDE,ETOPOSIDE,OCUBM,0,4.353374
CYCLOPHOSPHAMIDE,ETOPOSIDE,OV90,0,3.793177
CYCLOPHOSPHAMIDE,ETOPOSIDE,OVCAR3,3,15.56493
CYCLOPHOSPHAMIDE,ETOPOSIDE,PA1,0,-7.01252
CYCLOPHOSPHAMIDE,ETOPOSIDE,RKO,0,13.94911
CYCLOPHOSPHAMIDE,ETOPOSIDE,RPMI7951,0,0.972518
CYCLOPHOSPHAMIDE,ETOPOSIDE,SKMEL30,0,7.08559
CYCLOPHOSPHAMIDE,ETOPOSIDE,SKMES1,0,4.543235
CYCLOPHOSPHAMIDE,ETOPOSIDE,SKOV3,4,9.979151
CYCLOPHOSPHAMIDE,ETOPOSIDE,SW620,0,4.112016
CYCLOPHOSPHAMIDE,ETOPOSIDE,SW837,0,5.3286
CYCLOPHOSPHAMIDE,ETOPOSIDE,T47D,1,11.67176
CYCLOPHOSPHAMIDE,ETOPOSIDE,UACC62,0,-0.53341
CYCLOPHOSPHAMIDE,ETOPOSIDE,UWB1289,0,1.362148
CYCLOPHOSPHAMIDE,ETOPOSIDE,UWB1289BRCA1,0,5.860166
CYCLOPHOSPHAMIDE,ETOPOSIDE,VCAP,9,14.31495
CYCLOPHOSPHAMIDE,ETOPOSIDE,ZR751,0,19.85876
CYCLOPHOSPHAMIDE,GEMCITABINE,A2058,0,-0.37718
CYCLOPHOSPHAMIDE,GEMCITABINE,A2780,0,-2.24483
CYCLOPHOSPHAMIDE,GEMCITABINE,A375,0,-5.39402
CYCLOPHOSPHAMIDE,GEMCITABINE,A427,0,-0.60105
CYCLOPHOSPHAMIDE,GEMCITABINE,CAOV3,0,-2.02017
CYCLOPHOSPHAMIDE,GEMCITABINE,COLO320DM,0,2.389469
CYCLOPHOSPHAMIDE,GEMCITABINE,DLD1,0,3.271312
CYCLOPHOSPHAMIDE,GEMCITABINE,EFM192B,0,3.622059
CYCLOPHOSPHAMIDE,GEMCITABINE,ES2,0,2.926776
CYCLOPHOSPHAMIDE,GEMCITABINE,HCT116,1,-4.5959
CYCLOPHOSPHAMIDE,GEMCITABINE,HT144,0,5.897096
CYCLOPHOSPHAMIDE,GEMCITABINE,HT29,0,3.112176
CYCLOPHOSPHAMIDE,GEMCITABINE,KPL1,0,1.74695
CYCLOPHOSPHAMIDE,GEMCITABINE,LNCAP,1,-51.5437
CYCLOPHOSPHAMIDE,GEMCITABINE,LOVO,0,-1.18381
CYCLOPHOSPHAMIDE,GEMCITABINE,MDAMB436,0,4.144096
CYCLOPHOSPHAMIDE,GEMCITABINE,MSTO,0,-6.38566
CYCLOPHOSPHAMIDE,GEMCITABINE,NCIH1650,0,-6.43139
CYCLOPHOSPHAMIDE,GEMCITABINE,NCIH2122,0,2.657964
CYCLOPHOSPHAMIDE,GEMCITABINE,NCIH23,0,-1.79873
CYCLOPHOSPHAMIDE,GEMCITABINE,NCIH460,0,4.96966
CYCLOPHOSPHAMIDE,GEMCITABINE,NCIH520,0,2.464726
CYCLOPHOSPHAMIDE,GEMCITABINE,OCUBM,0,2.427066
CYCLOPHOSPHAMIDE,GEMCITABINE,OV90,0,2.460516
CYCLOPHOSPHAMIDE,GEMCITABINE,OVCAR3,0,-9.33522
CYCLOPHOSPHAMIDE,GEMCITABINE,PA1,0,-0.6836
CYCLOPHOSPHAMIDE,GEMCITABINE,RKO,0,-8.00611
CYCLOPHOSPHAMIDE,GEMCITABINE,RPMI7951,0,0.329021
CYCLOPHOSPHAMIDE,GEMCITABINE,SKMEL30,0,3.531222
CYCLOPHOSPHAMIDE,GEMCITABINE,SKMES1,0,-7.01576
CYCLOPHOSPHAMIDE,GEMCITABINE,SKOV3,1,1.692484
CYCLOPHOSPHAMIDE,GEMCITABINE,SW620,0,2.020695
CYCLOPHOSPHAMIDE,GEMCITABINE,SW837,0,3.663622
CYCLOPHOSPHAMIDE,GEMCITABINE,T47D,0,-1.29122
CYCLOPHOSPHAMIDE,GEMCITABINE,UACC62,0,4.581562
CYCLOPHOSPHAMIDE,GEMCITABINE,UWB1289,0,-4.08611
CYCLOPHOSPHAMIDE,GEMCITABINE,UWB1289BRCA1,0,4.448211
CYCLOPHOSPHAMIDE,GEMCITABINE,VCAP,0,7.772694
CYCLOPHOSPHAMIDE,GEMCITABINE,ZR751,0,12.82397
CYCLOPHOSPHAMIDE,METFORMIN,A2058,0,3.744114
CYCLOPHOSPHAMIDE,METFORMIN,A2780,0,-4.93587
CYCLOPHOSPHAMIDE,METFORMIN,A375,0,0.450508
CYCLOPHOSPHAMIDE,METFORMIN,A427,0,-8.27021
CYCLOPHOSPHAMIDE,METFORMIN,CAOV3,0,-8.43675
CYCLOPHOSPHAMIDE,METFORMIN,COLO320DM,0,1.689556
CYCLOPHOSPHAMIDE,METFORMIN,DLD1,0,2.06736
CYCLOPHOSPHAMIDE,METFORMIN,EFM192B,0,-6.58171
CYCLOPHOSPHAMIDE,METFORMIN,ES2,0,-4.3754
CYCLOPHOSPHAMIDE,METFORMIN,HCT116,0,1.094902
CYCLOPHOSPHAMIDE,METFORMIN,HT144,0,-5.5825
CYCLOPHOSPHAMIDE,METFORMIN,HT29,0,-3.39239
CYCLOPHOSPHAMIDE,METFORMIN,KPL1,0,-6.71001
CYCLOPHOSPHAMIDE,METFORMIN,LNCAP,0,-22.0469
CYCLOPHOSPHAMIDE,METFORMIN,LOVO,0,-9.27679
CYCLOPHOSPHAMIDE,METFORMIN,MDAMB436,0,-4.04415
CYCLOPHOSPHAMIDE,METFORMIN,MSTO,0,8.689645
CYCLOPHOSPHAMIDE,METFORMIN,NCIH1650,0,-7.6705
CYCLOPHOSPHAMIDE,METFORMIN,NCIH2122,0,-0.3284
CYCLOPHOSPHAMIDE,METFORMIN,NCIH23,0,-0.4733
CYCLOPHOSPHAMIDE,METFORMIN,NCIH460,0,-1.42031
CYCLOPHOSPHAMIDE,METFORMIN,NCIH520,0,-0.15039
CYCLOPHOSPHAMIDE,METFORMIN,OCUBM,0,-3.41135
CYCLOPHOSPHAMIDE,METFORMIN,OV90,0,0.14718
CYCLOPHOSPHAMIDE,METFORMIN,OVCAR3,0,-10.7438
CYCLOPHOSPHAMIDE,METFORMIN,PA1,0,-0.38069
CYCLOPHOSPHAMIDE,METFORMIN,RKO,0,2.669865
CYCLOPHOSPHAMIDE,METFORMIN,RPMI7951,0,-7.52119
CYCLOPHOSPHAMIDE,METFORMIN,SKMEL30,0,-2.02664
CYCLOPHOSPHAMIDE,METFORMIN,SKMES1,0,2.635194
CYCLOPHOSPHAMIDE,METFORMIN,SKOV3,0,-1.72631
CYCLOPHOSPHAMIDE,METFORMIN,SW620,0,-1.35959
CYCLOPHOSPHAMIDE,METFORMIN,SW837,0,-8.78728
CYCLOPHOSPHAMIDE,METFORMIN,T47D,0,14.44598
CYCLOPHOSPHAMIDE,METFORMIN,UACC62,0,-6.0145
CYCLOPHOSPHAMIDE,METFORMIN,UWB1289,0,-7.95547
CYCLOPHOSPHAMIDE,METFORMIN,UWB1289BRCA1,0,-3.78405
CYCLOPHOSPHAMIDE,METFORMIN,VCAP,0,-1.11042
CYCLOPHOSPHAMIDE,METFORMIN,ZR751,0,-12.2504
CYCLOPHOSPHAMIDE,METHOTREXATE,A2058,0,-7.88589
CYCLOPHOSPHAMIDE,METHOTREXATE,A2780,0,-3.87328
CYCLOPHOSPHAMIDE,METHOTREXATE,A375,0,2.818592
CYCLOPHOSPHAMIDE,METHOTREXATE,A427,0,7.83687
CYCLOPHOSPHAMIDE,METHOTREXATE,CAOV3,0,-5.89588
CYCLOPHOSPHAMIDE,METHOTREXATE,COLO320DM,0,2.251166
CYCLOPHOSPHAMIDE,METHOTREXATE,DLD1,0,2.286884
CYCLOPHOSPHAMIDE,METHOTREXATE,EFM192B,0,3.405894
CYCLOPHOSPHAMIDE,METHOTREXATE,ES2,0,1.050341
CYCLOPHOSPHAMIDE,METHOTREXATE,HCT116,0,-13.4365
CYCLOPHOSPHAMIDE,METHOTREXATE,HT144,0,-1.05719
CYCLOPHOSPHAMIDE,METHOTREXATE,HT29,1,-1.52567
CYCLOPHOSPHAMIDE,METHOTREXATE,KPL1,0,-10.8802
CYCLOPHOSPHAMIDE,METHOTREXATE,LNCAP,1,-37.4718
CYCLOPHOSPHAMIDE,METHOTREXATE,LOVO,0,-6.04265
CYCLOPHOSPHAMIDE,METHOTREXATE,MDAMB436,0,-0.26879
CYCLOPHOSPHAMIDE,METHOTREXATE,MSTO,0,-1.22973
CYCLOPHOSPHAMIDE,METHOTREXATE,NCIH1650,0,-5.68959
CYCLOPHOSPHAMIDE,METHOTREXATE,NCIH2122,0,0.018081
CYCLOPHOSPHAMIDE,METHOTREXATE,NCIH23,0,-2.44058
CYCLOPHOSPHAMIDE,METHOTREXATE,NCIH460,0,-5.56659
CYCLOPHOSPHAMIDE,METHOTREXATE,NCIH520,0,-3.38591
CYCLOPHOSPHAMIDE,METHOTREXATE,OCUBM,0,2.96694
CYCLOPHOSPHAMIDE,METHOTREXATE,OV90,0,1.437888
CYCLOPHOSPHAMIDE,METHOTREXATE,OVCAR3,0,-24.6959
CYCLOPHOSPHAMIDE,METHOTREXATE,PA1,0,-7.25865
CYCLOPHOSPHAMIDE,METHOTREXATE,RKO,0,-14.9924
CYCLOPHOSPHAMIDE,METHOTREXATE,RPMI7951,0,0.647026
CYCLOPHOSPHAMIDE,METHOTREXATE,SKMEL30,0,2.062513
CYCLOPHOSPHAMIDE,METHOTREXATE,SKMES1,0,-1.7632
CYCLOPHOSPHAMIDE,METHOTREXATE,SKOV3,0,2.297081
CYCLOPHOSPHAMIDE,METHOTREXATE,SW620,0,-2.10516
CYCLOPHOSPHAMIDE,METHOTREXATE,SW837,0,-0.51878
CYCLOPHOSPHAMIDE,METHOTREXATE,T47D,1,-18.0443
CYCLOPHOSPHAMIDE,METHOTREXATE,UACC62,0,-2.18015
CYCLOPHOSPHAMIDE,METHOTREXATE,UWB1289,0,-4.68199
CYCLOPHOSPHAMIDE,METHOTREXATE,UWB1289BRCA1,0,-2.63758
CYCLOPHOSPHAMIDE,METHOTREXATE,VCAP,0,-3.64788
CYCLOPHOSPHAMIDE,METHOTREXATE,ZR751,0,-10.6267
CYCLOPHOSPHAMIDE,MITOMYCIN,A2058,0,-7.70004
CYCLOPHOSPHAMIDE,MITOMYCIN,A2780,0,-8.80004
CYCLOPHOSPHAMIDE,MITOMYCIN,A375,0,-0.77309
CYCLOPHOSPHAMIDE,MITOMYCIN,A427,0,-8.79701
CYCLOPHOSPHAMIDE,MITOMYCIN,CAOV3,0,-17.1325
CYCLOPHOSPHAMIDE,MITOMYCIN,COLO320DM,0,2.74069
CYCLOPHOSPHAMIDE,MITOMYCIN,DLD1,0,0.999078
CYCLOPHOSPHAMIDE,MITOMYCIN,EFM192B,0,-15.7314
CYCLOPHOSPHAMIDE,MITOMYCIN,ES2,0,-5.66583
CYCLOPHOSPHAMIDE,MITOMYCIN,HCT116,0,-5.5632
CYCLOPHOSPHAMIDE,MITOMYCIN,HT144,0,-0.71852
CYCLOPHOSPHAMIDE,MITOMYCIN,HT29,0,-1.70859
CYCLOPHOSPHAMIDE,MITOMYCIN,KPL1,0,-5.56564
CYCLOPHOSPHAMIDE,MITOMYCIN,LNCAP,0,-9.7537
CYCLOPHOSPHAMIDE,MITOMYCIN,LOVO,0,-2.8492
CYCLOPHOSPHAMIDE,MITOMYCIN,MDAMB436,0,-4.82503
CYCLOPHOSPHAMIDE,MITOMYCIN,MSTO,0,-2.8791
CYCLOPHOSPHAMIDE,MITOMYCIN,NCIH1650,0,-4.6829
CYCLOPHOSPHAMIDE,MITOMYCIN,NCIH2122,0,-8.93263
CYCLOPHOSPHAMIDE,MITOMYCIN,NCIH23,0,-6.96752
CYCLOPHOSPHAMIDE,MITOMYCIN,NCIH460,0,-8.76358
CYCLOPHOSPHAMIDE,MITOMYCIN,NCIH520,0,-0.9286
CYCLOPHOSPHAMIDE,MITOMYCIN,OCUBM,0,-8.27469
CYCLOPHOSPHAMIDE,MITOMYCIN,OV90,0,-10.0813
CYCLOPHOSPHAMIDE,MITOMYCIN,OVCAR3,0,0.426656
CYCLOPHOSPHAMIDE,MITOMYCIN,PA1,0,-11.6551
CYCLOPHOSPHAMIDE,MITOMYCIN,RKO,0,-6.41873
CYCLOPHOSPHAMIDE,MITOMYCIN,RPMI7951,0,-9.60649
CYCLOPHOSPHAMIDE,MITOMYCIN,SKMEL30,0,-7.76718
CYCLOPHOSPHAMIDE,MITOMYCIN,SKMES1,0,-5.07197
CYCLOPHOSPHAMIDE,MITOMYCIN,SKOV3,0,-1.42983
CYCLOPHOSPHAMIDE,MITOMYCIN,SW620,0,-0.10275
CYCLOPHOSPHAMIDE,MITOMYCIN,SW837,0,7.527153
CYCLOPHOSPHAMIDE,MITOMYCIN,T47D,0,-21.3812
CYCLOPHOSPHAMIDE,MITOMYCIN,UACC62,0,-2.98049
CYCLOPHOSPHAMIDE,MITOMYCIN,UWB1289,0,-2.37004
CYCLOPHOSPHAMIDE,MITOMYCIN,UWB1289BRCA1,0,3.182123
CYCLOPHOSPHAMIDE,MITOMYCIN,VCAP,0,3.571515
CYCLOPHOSPHAMIDE,MITOMYCIN,ZR751,0,1.993594
CYCLOPHOSPHAMIDE,OXALIPLATIN,A2058,0,-0.44283
CYCLOPHOSPHAMIDE,OXALIPLATIN,A2780,0,-10.9587
CYCLOPHOSPHAMIDE,OXALIPLATIN,A375,1,-2.03188
CYCLOPHOSPHAMIDE,OXALIPLATIN,A427,0,-4.64999
CYCLOPHOSPHAMIDE,OXALIPLATIN,CAOV3,0,-10.8616
CYCLOPHOSPHAMIDE,OXALIPLATIN,COLO320DM,0,1.326229
CYCLOPHOSPHAMIDE,OXALIPLATIN,DLD1,0,1.509912
CYCLOPHOSPHAMIDE,OXALIPLATIN,EFM192B,0,-0.7835
CYCLOPHOSPHAMIDE,OXALIPLATIN,ES2,0,-8.60257
CYCLOPHOSPHAMIDE,OXALIPLATIN,HCT116,1,2.555985
CYCLOPHOSPHAMIDE,OXALIPLATIN,HT144,0,-8.19941
CYCLOPHOSPHAMIDE,OXALIPLATIN,HT29,1,-3.54648
CYCLOPHOSPHAMIDE,OXALIPLATIN,KPL1,0,7.258624
CYCLOPHOSPHAMIDE,OXALIPLATIN,LNCAP,0,-9.18852
CYCLOPHOSPHAMIDE,OXALIPLATIN,LOVO,0,-12.3139
CYCLOPHOSPHAMIDE,OXALIPLATIN,MDAMB436,0,-6.90507
CYCLOPHOSPHAMIDE,OXALIPLATIN,MSTO,0,-2.54717
CYCLOPHOSPHAMIDE,OXALIPLATIN,NCIH1650,0,-3.0032
CYCLOPHOSPHAMIDE,OXALIPLATIN,NCIH2122,0,5.80309
CYCLOPHOSPHAMIDE,OXALIPLATIN,NCIH23,0,-6.69307
CYCLOPHOSPHAMIDE,OXALIPLATIN,NCIH460,0,-7.96425
CYCLOPHOSPHAMIDE,OXALIPLATIN,NCIH520,0,-1.15303
CYCLOPHOSPHAMIDE,OXALIPLATIN,OCUBM,0,10.88708
CYCLOPHOSPHAMIDE,OXALIPLATIN,OV90,0,-6.58623
CYCLOPHOSPHAMIDE,OXALIPLATIN,OVCAR3,0,-2.09816
CYCLOPHOSPHAMIDE,OXALIPLATIN,PA1,0,-13.9016
CYCLOPHOSPHAMIDE,OXALIPLATIN,RKO,0,2.651177
CYCLOPHOSPHAMIDE,OXALIPLATIN,RPMI7951,0,-13.337
CYCLOPHOSPHAMIDE,OXALIPLATIN,SKMEL30,0,0.701747
CYCLOPHOSPHAMIDE,OXALIPLATIN,SKMES1,0,-0.44671
CYCLOPHOSPHAMIDE,OXALIPLATIN,SKOV3,0,1.72793
CYCLOPHOSPHAMIDE,OXALIPLATIN,SW620,0,-1.96957
CYCLOPHOSPHAMIDE,OXALIPLATIN,SW837,0,-2.64475
CYCLOPHOSPHAMIDE,OXALIPLATIN,T47D,0,-0.69313
CYCLOPHOSPHAMIDE,OXALIPLATIN,UACC62,0,-9.24664
CYCLOPHOSPHAMIDE,OXALIPLATIN,UWB1289,0,-5.1844
CYCLOPHOSPHAMIDE,OXALIPLATIN,UWB1289BRCA1,0,-4.13013
CYCLOPHOSPHAMIDE,OXALIPLATIN,VCAP,0,2.65659
CYCLOPHOSPHAMIDE,OXALIPLATIN,ZR751,0,1.240118
CYCLOPHOSPHAMIDE,PACLITAXEL,A2058,0,-0.29011
CYCLOPHOSPHAMIDE,PACLITAXEL,A2780,3,-9.81305
CYCLOPHOSPHAMIDE,PACLITAXEL,A375,0,21.60117
CYCLOPHOSPHAMIDE,PACLITAXEL,A427,0,-1.69821
CYCLOPHOSPHAMIDE,PACLITAXEL,CAOV3,2,-5.07007
CYCLOPHOSPHAMIDE,PACLITAXEL,COLO320DM,0,12.98598
CYCLOPHOSPHAMIDE,PACLITAXEL,DLD1,0,10.79639
CYCLOPHOSPHAMIDE,PACLITAXEL,EFM192B,0,-7.63764
CYCLOPHOSPHAMIDE,PACLITAXEL,ES2,0,13.32136
CYCLOPHOSPHAMIDE,PACLITAXEL,HCT116,0,-1.68269
CYCLOPHOSPHAMIDE,PACLITAXEL,HT144,0,10.45607
CYCLOPHOSPHAMIDE,PACLITAXEL,HT29,1,-1.22065
CYCLOPHOSPHAMIDE,PACLITAXEL,KPL1,0,-2.67523
CYCLOPHOSPHAMIDE,PACLITAXEL,LNCAP,1,-37.274
CYCLOPHOSPHAMIDE,PACLITAXEL,LOVO,0,-1.89922
CYCLOPHOSPHAMIDE,PACLITAXEL,MDAMB436,0,4.276948
CYCLOPHOSPHAMIDE,PACLITAXEL,MSTO,0,3.972696
CYCLOPHOSPHAMIDE,PACLITAXEL,NCIH1650,0,3.117902
CYCLOPHOSPHAMIDE,PACLITAXEL,NCIH2122,0,-38.8063
CYCLOPHOSPHAMIDE,PACLITAXEL,NCIH23,0,0.970865
CYCLOPHOSPHAMIDE,PACLITAXEL,NCIH460,0,10.1818
CYCLOPHOSPHAMIDE,PACLITAXEL,NCIH520,0,4.727717
CYCLOPHOSPHAMIDE,PACLITAXEL,OCUBM,0,-3.74
CYCLOPHOSPHAMIDE,PACLITAXEL,OV90,0,4.822608
CYCLOPHOSPHAMIDE,PACLITAXEL,OVCAR3,4,-10.0048
CYCLOPHOSPHAMIDE,PACLITAXEL,PA1,0,0.926135
CYCLOPHOSPHAMIDE,PACLITAXEL,RKO,0,2.531465
CYCLOPHOSPHAMIDE,PACLITAXEL,RPMI7951,0,2.271091
CYCLOPHOSPHAMIDE,PACLITAXEL,SKMEL30,0,9.082139
CYCLOPHOSPHAMIDE,PACLITAXEL,SKMES1,0,12.15997
CYCLOPHOSPHAMIDE,PACLITAXEL,SKOV3,7,10.90178
CYCLOPHOSPHAMIDE,PACLITAXEL,SW620,0,5.230502
CYCLOPHOSPHAMIDE,PACLITAXEL,SW837,0,-3.4934
CYCLOPHOSPHAMIDE,PACLITAXEL,T47D,5,-6.10499
CYCLOPHOSPHAMIDE,PACLITAXEL,UACC62,0,-2.34283
CYCLOPHOSPHAMIDE,PACLITAXEL,UWB1289,0,-10.5372
CYCLOPHOSPHAMIDE,PACLITAXEL,UWB1289BRCA1,0,2.723824
CYCLOPHOSPHAMIDE,PACLITAXEL,VCAP,0,9.167892
CYCLOPHOSPHAMIDE,PACLITAXEL,ZR751,0,6.709707
CYCLOPHOSPHAMIDE,SN-38,A2058,0,10.80212
CYCLOPHOSPHAMIDE,SN-38,A2780,0,0.327136
CYCLOPHOSPHAMIDE,SN-38,A375,0,10.71708
CYCLOPHOSPHAMIDE,SN-38,A427,0,0.635661
CYCLOPHOSPHAMIDE,SN-38,CAOV3,0,11.2273
CYCLOPHOSPHAMIDE,SN-38,COLO320DM,0,4.379324
CYCLOPHOSPHAMIDE,SN-38,DLD1,0,4.453363
CYCLOPHOSPHAMIDE,SN-38,EFM192B,0,4.092775
CYCLOPHOSPHAMIDE,SN-38,ES2,0,-0.812
CYCLOPHOSPHAMIDE,SN-38,HCT116,0,12.26951
CYCLOPHOSPHAMIDE,SN-38,HT144,0,6.625099
CYCLOPHOSPHAMIDE,SN-38,HT29,0,-0.83409
CYCLOPHOSPHAMIDE,SN-38,KPL1,0,5.73389
CYCLOPHOSPHAMIDE,SN-38,LNCAP,0,-15.4559
CYCLOPHOSPHAMIDE,SN-38,LOVO,0,-12.2052
CYCLOPHOSPHAMIDE,SN-38,MDAMB436,0,2.335879
CYCLOPHOSPHAMIDE,SN-38,MSTO,0,5.487434
CYCLOPHOSPHAMIDE,SN-38,NCIH1650,0,-3.5788
CYCLOPHOSPHAMIDE,SN-38,NCIH2122,0,11.45027
CYCLOPHOSPHAMIDE,SN-38,NCIH23,0,6.648407
CYCLOPHOSPHAMIDE,SN-38,NCIH460,0,11.93072
CYCLOPHOSPHAMIDE,SN-38,NCIH520,0,2.611372
CYCLOPHOSPHAMIDE,SN-38,OCUBM,0,11.36143
CYCLOPHOSPHAMIDE,SN-38,OV90,0,0.860412
CYCLOPHOSPHAMIDE,SN-38,OVCAR3,0,18.89374
CYCLOPHOSPHAMIDE,SN-38,PA1,0,6.383827
CYCLOPHOSPHAMIDE,SN-38,RKO,0,20.8903
CYCLOPHOSPHAMIDE,SN-38,RPMI7951,0,7.190275
CYCLOPHOSPHAMIDE,SN-38,SKMEL30,0,9.25081
CYCLOPHOSPHAMIDE,SN-38,SKMES1,0,4.380344
CYCLOPHOSPHAMIDE,SN-38,SKOV3,0,6.112909
CYCLOPHOSPHAMIDE,SN-38,SW620,0,4.926116
CYCLOPHOSPHAMIDE,SN-38,SW837,0,-0.96706
CYCLOPHOSPHAMIDE,SN-38,T47D,0,10.63805
CYCLOPHOSPHAMIDE,SN-38,UACC62,0,2.133046
CYCLOPHOSPHAMIDE,SN-38,UWB1289,0,-0.35851
CYCLOPHOSPHAMIDE,SN-38,UWB1289BRCA1,0,4.018992
CYCLOPHOSPHAMIDE,SN-38,VCAP,0,10.49629
CYCLOPHOSPHAMIDE,SN-38,ZR751,0,13.77808
CYCLOPHOSPHAMIDE,TOPOTECAN,A2058,0,2.305914
CYCLOPHOSPHAMIDE,TOPOTECAN,A2780,1,0.439237
CYCLOPHOSPHAMIDE,TOPOTECAN,A375,0,2.296281
CYCLOPHOSPHAMIDE,TOPOTECAN,A427,0,2.028297
CYCLOPHOSPHAMIDE,TOPOTECAN,CAOV3,0,9.09921
CYCLOPHOSPHAMIDE,TOPOTECAN,COLO320DM,0,5.252722
CYCLOPHOSPHAMIDE,TOPOTECAN,DLD1,0,5.577054
CYCLOPHOSPHAMIDE,TOPOTECAN,EFM192B,0,-2.70229
CYCLOPHOSPHAMIDE,TOPOTECAN,ES2,0,-0.20532
CYCLOPHOSPHAMIDE,TOPOTECAN,HCT116,0,5.588322
CYCLOPHOSPHAMIDE,TOPOTECAN,HT144,0,3.308803
CYCLOPHOSPHAMIDE,TOPOTECAN,HT29,0,0.821023
CYCLOPHOSPHAMIDE,TOPOTECAN,KPL1,0,4.230492
CYCLOPHOSPHAMIDE,TOPOTECAN,LNCAP,0,-117.869
CYCLOPHOSPHAMIDE,TOPOTECAN,LOVO,0,-4.99317
CYCLOPHOSPHAMIDE,TOPOTECAN,MDAMB436,0,0.561167
CYCLOPHOSPHAMIDE,TOPOTECAN,MSTO,0,-6.02045
CYCLOPHOSPHAMIDE,TOPOTECAN,NCIH1650,0,0.644782
CYCLOPHOSPHAMIDE,TOPOTECAN,NCIH2122,0,6.213302
CYCLOPHOSPHAMIDE,TOPOTECAN,NCIH23,0,-1.07577
